166.2.22.221	04:30 pm  Sunday January 3, 2010	10	  SANTA MONICA PIER CA                  	 LATT=  34.02 LONG=-118.50
166.7.101.77	08:12 am  Monday January 4, 2010	30	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:15 am  Monday January 4, 2010	30	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:15 am  Monday January 4, 2010	30	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:17 am  Monday January 4, 2010	30	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:17 am  Monday January 4, 2010	30	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:17 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:18 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:18 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:19 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:19 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:20 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:21 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:22 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:22 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:26 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:28 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:29 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:29 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:29 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:30 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:33 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:33 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:34 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:35 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:35 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:35 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:36 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:36 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:37 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:37 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:39 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:40 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:45 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:45 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:46 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:47 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:47 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:48 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:50 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:50 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:51 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:51 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:51 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:58 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:58 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:59 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:59 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	08:59 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:00 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:05 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:06 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:06 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
