166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:30 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:31 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:32 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
